ciudad,pais,latitud,longitud,temperatura,sensacion_termica,humedad,velocidad_viento,descripcion,codigo_tiempo,fecha_extraccion,temperatura_categoria,estado_clima,clima_severo
Sao Paulo,Brazil,-23.5505,-46.6333,28.0,26.1,84,2.9,Sunny,113,2026-04-07 09:40:01.028715,Cálido,Despejado,False
Miami,Usa,25.7617,-80.1918,28.0,27.5,79,12.6,Partly Cloudy,116,2026-03-25 09:43:01.028843,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,25.7,27.0,85,12.8,Cloudy,119,2026-03-26 09:25:01.028913,Cálido,Nublado,False
Lima,Peru,-12.0464,-77.0428,12.9,11.8,100,7.9,Partly Cloudy,116,2026-04-08 20:42:01.028978,Frío,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,18.4,17.2,66,14.8,Light Rain,293,2026-04-03 22:12:01.029040,Templado,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,24.5,25.2,80,11.3,Sunny,113,2026-03-17 15:56:01.029193,Cálido,Despejado,False
London,Uk,51.5074,-0.1278,11.8,13.4,83,9.2,Patchy Rain Nearby,176,2026-03-17 14:10:01.029269,Frío,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,24.3,25.8,63,7.4,Sunny,113,2026-04-07 01:47:01.029312,Cálido,Despejado,False
Barranquilla,Colombia,10.9685,-74.7813,30.3,30.1,81,12.0,Light Drizzle,266,2026-04-06 10:44:01.029393,Muy cálido,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,16.9,19.1,83,10.5,Sunny,113,2026-03-19 06:44:01.029530,Frío,Despejado,False
Tokyo,Japan,35.6895,139.6917,20.4,23.1,65,12.7,Heavy Rain,308,2026-03-25 10:41:01.029700,Templado,Lluvia fuerte,False
Mexico City,Mexico,19.4326,-99.1332,27.3,26.2,76,8.8,Sunny,113,2026-04-01 18:33:01.029758,Cálido,Despejado,False
Sao Paulo,Brazil,-23.5505,-46.6333,26.9,25.9,72,14.7,Sunny,113,2026-04-09 03:29:01.029800,Cálido,Despejado,False
Tokyo,Japan,35.6895,139.6917,26.9,29.1,78,11.0,Partly Cloudy,116,2026-03-19 08:29:01.029839,Cálido,Parcialmente nublado,False
Cartagena,Colombia,10.391,-75.4794,37.0,39.2,90,16.9,Overcast,122,2026-04-07 15:58:01.029883,Muy cálido,Nublado,False
Barranquilla,Colombia,10.9685,-74.7813,21.5,21.5,52,13.2,Cloudy,119,2026-04-03 11:44:01.029922,Templado,Nublado,False
Bogota,Colombia,4.711,-74.0721,16.7,18.6,66,16.1,Partly Cloudy,116,2026-03-29 22:16:01.029961,Frío,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,20.6,21.4,80,14.9,Light Drizzle,266,2026-03-21 17:20:01.030087,Templado,Lluvia ligera,False
Barranquilla,Colombia,10.9685,-74.7813,25.5,24.5,73,15.6,Overcast,122,2026-03-21 17:19:01.030145,Cálido,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,21.4,22.3,66,8.5,Cloudy,119,2026-04-13 02:36:01.030185,Templado,Nublado,False
Cali,Colombia,3.4516,-76.532,26.8,26.6,60,15.5,Partly Cloudy,116,2026-03-16 19:00:01.030235,Cálido,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,20.8,18.5,78,4.4,Partly Cloudy,116,2026-03-18 21:46:01.030275,Templado,Parcialmente nublado,False
Mexico City,Mexico,19.4326,-99.1332,25.8,23.9,44,15.7,Overcast,122,2026-03-23 08:50:01.030314,Cálido,Nublado,False
Cali,Colombia,3.4516,-76.532,31.9,35.3,78,9.5,Cloudy,119,2026-03-18 17:20:01.030371,Muy cálido,Nublado,False
Madrid,Spain,40.4168,-3.7038,13.2,12.8,52,1.4,Partly Cloudy,116,2026-03-20 22:37:01.030442,Frío,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,11.5,12.4,67,10.5,Sunny,113,2026-03-20 09:48:01.030492,Frío,Despejado,False
Cartagena,Colombia,10.391,-75.4794,25.2,26.5,71,13.4,Partly Cloudy,116,2026-03-24 21:58:01.030533,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,37.1,36.7,70,18.1,Light Drizzle,266,2026-04-13 07:27:01.030573,Muy cálido,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,22.7,23.9,96,4.9,Partly Cloudy,116,2026-03-27 11:55:01.030612,Templado,Parcialmente nublado,False
Mexico City,Mexico,19.4326,-99.1332,23.9,24.5,76,18.3,Overcast,122,2026-03-24 23:52:01.030651,Templado,Nublado,False
Bogota,Colombia,4.711,-74.0721,20.9,22.5,79,14.4,Sunny,113,2026-03-24 07:38:01.030703,Templado,Despejado,False
Lima,Peru,-12.0464,-77.0428,25.2,23.2,87,16.3,Partly Cloudy,116,2026-03-22 17:46:01.030743,Cálido,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,20.0,18.5,55,4.4,Moderate Rain,302,2026-04-09 01:36:01.030782,Templado,Lluvia moderada,False
Mexico City,Mexico,19.4326,-99.1332,24.3,20.3,48,7.3,Patchy Rain Nearby,176,2026-03-29 14:21:01.030821,Cálido,Lluvia ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,27.5,28.6,62,7.6,Partly Cloudy,116,2026-04-05 04:29:01.030860,Cálido,Parcialmente nublado,False
Mexico City,Mexico,19.4326,-99.1332,22.7,23.9,50,13.9,Moderate Rain,302,2026-04-05 07:00:01.030911,Templado,Lluvia moderada,False
London,Uk,51.5074,-0.1278,16.1,14.6,79,14.6,Light Rain,293,2026-03-26 00:27:01.030952,Frío,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,28.5,26.2,75,3.6,Partly Cloudy,116,2026-04-12 15:21:01.030991,Cálido,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,18.5,17.4,57,0.6,Moderate Rain,302,2026-03-28 09:51:01.031031,Templado,Lluvia moderada,False
Medellin,Colombia,6.2442,-75.5812,21.4,21.5,63,12.6,Sunny,113,2026-04-07 11:24:01.031069,Templado,Despejado,False
Barranquilla,Colombia,10.9685,-74.7813,30.6,30.6,90,9.4,Cloudy,119,2026-04-07 11:44:01.031116,Muy cálido,Nublado,False
London,Uk,51.5074,-0.1278,14.0,13.1,62,14.4,Partly Cloudy,116,2026-04-05 18:10:01.031155,Frío,Parcialmente nublado,False
Bogota,Colombia,4.711,-74.0721,21.1,18.9,74,9.6,Moderate Rain,302,2026-03-16 19:58:01.031194,Templado,Lluvia moderada,False
Tokyo,Japan,35.6895,139.6917,23.5,28.1,74,7.3,Thundery Outbreaks,200,2026-03-28 11:54:01.031233,Templado,Tormenta,True
Mexico City,Mexico,19.4326,-99.1332,19.8,17.7,60,6.8,Overcast,122,2026-03-21 13:45:01.031271,Templado,Nublado,False
Tokyo,Japan,35.6895,139.6917,16.9,15.9,34,1.7,Sunny,113,2026-04-07 18:19:01.031310,Frío,Despejado,False
Cali,Colombia,3.4516,-76.532,25.6,24.5,100,3.5,Partly Cloudy,116,2026-04-12 16:46:01.031351,Cálido,Parcialmente nublado,False
Cali,Colombia,3.4516,-76.532,26.3,24.6,68,7.1,Partly Cloudy,116,2026-03-22 13:08:01.031390,Cálido,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,22.5,24.3,65,0.2,Patchy Rain Nearby,176,2026-04-01 06:46:01.031429,Templado,Lluvia ligera,False
Madrid,Spain,40.4168,-3.7038,12.8,17.0,48,16.9,Cloudy,119,2026-04-08 01:47:01.031468,Frío,Nublado,False
Cali,Colombia,3.4516,-76.532,28.8,24.3,86,16.1,Sunny,113,2026-04-09 04:51:01.031531,Cálido,Despejado,False
Madrid,Spain,40.4168,-3.7038,18.5,17.8,49,8.4,Patchy Rain Nearby,176,2026-03-25 03:32:01.031570,Templado,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,21.9,19.3,63,2.8,Light Rain,293,2026-03-16 19:46:01.031618,Templado,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,25.3,24.8,95,0.9,Thundery Outbreaks,200,2026-03-22 16:34:01.031657,Cálido,Tormenta,True
Lima,Peru,-12.0464,-77.0428,22.6,25.3,65,14.7,Cloudy,119,2026-04-10 11:42:01.031695,Templado,Nublado,False
Miami,Usa,25.7617,-80.1918,31.8,33.9,79,19.2,Partly Cloudy,116,2026-04-11 11:28:01.031934,Muy cálido,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,21.0,17.8,67,6.1,Sunny,113,2026-04-13 15:08:01.032051,Templado,Despejado,False
Madrid,Spain,40.4168,-3.7038,6.9,7.0,56,3.9,Patchy Rain Nearby,176,2026-04-15 00:23:01.032130,Muy frío,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,21.3,21.1,62,5.4,Cloudy,119,2026-04-12 21:42:01.032191,Templado,Nublado,False
Miami,Usa,25.7617,-80.1918,29.5,28.6,84,6.7,Light Rain,293,2026-04-14 06:05:01.032254,Cálido,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,16.2,19.5,83,3.9,Cloudy,119,2026-04-05 19:20:01.032343,Frío,Nublado,False
Tokyo,Japan,35.6895,139.6917,22.7,23.5,73,20.1,Patchy Rain Nearby,176,2026-04-10 03:59:01.032400,Templado,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,19.2,18.3,61,6.9,Heavy Rain,308,2026-04-03 15:29:01.032456,Templado,Lluvia fuerte,False
Miami,Usa,25.7617,-80.1918,30.7,28.4,58,14.8,Partly Cloudy,116,2026-03-17 10:32:01.032513,Muy cálido,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,23.9,23.1,70,19.6,Partly Cloudy,116,2026-03-18 07:00:01.032575,Templado,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,16.9,14.8,82,19.0,Patchy Snow Showers,392,2026-03-23 12:01:01.032619,Frío,Nieve ligera,False
Medellin,Colombia,6.2442,-75.5812,17.5,19.1,54,9.2,Cloudy,119,2026-04-15 13:05:01.032660,Frío,Nublado,False
Tokyo,Japan,35.6895,139.6917,13.5,12.4,71,17.1,Light Drizzle,266,2026-03-17 19:24:01.032700,Frío,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,33.0,33.8,82,17.6,Cloudy,119,2026-04-04 01:14:01.032741,Muy cálido,Nublado,False
Medellin,Colombia,6.2442,-75.5812,15.6,15.0,75,7.5,Sunny,113,2026-03-21 23:03:01.032803,Frío,Despejado,False
London,Uk,51.5074,-0.1278,20.0,24.0,66,9.1,Sunny,113,2026-03-21 07:41:01.032912,Templado,Despejado,False
Miami,Usa,25.7617,-80.1918,30.1,29.9,82,6.4,Light Drizzle,266,2026-03-25 19:56:01.032989,Muy cálido,Lluvia ligera,False
Cartagena,Colombia,10.391,-75.4794,26.4,30.8,100,6.6,Patchy Rain Nearby,176,2026-04-02 07:08:01.033033,Cálido,Lluvia ligera,False
Barranquilla,Colombia,10.9685,-74.7813,28.5,29.7,87,12.9,Partly Cloudy,116,2026-04-07 07:54:01.033073,Cálido,Parcialmente nublado,False
Cartagena,Colombia,10.391,-75.4794,28.9,28.5,89,9.7,Cloudy,119,2026-03-28 12:05:01.033248,Cálido,Nublado,False
Madrid,Spain,40.4168,-3.7038,14.2,14.4,56,3.4,Overcast,122,2026-03-30 00:13:01.033317,Frío,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,26.7,27.0,92,17.1,Cloudy,119,2026-03-22 10:33:01.033527,Cálido,Nublado,False
Tokyo,Japan,35.6895,139.6917,23.7,20.2,62,1.3,Partly Cloudy,116,2026-04-08 13:47:01.033801,Templado,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,23.7,23.2,84,15.2,Sunny,113,2026-03-24 17:50:01.033870,Templado,Despejado,False
Cali,Colombia,3.4516,-76.532,30.6,31.0,74,2.2,Moderate Rain,302,2026-04-02 18:57:01.033914,Muy cálido,Lluvia moderada,False
Bogota,Colombia,4.711,-74.0721,23.3,23.8,95,13.0,Overcast,122,2026-04-05 10:33:01.034178,Templado,Nublado,False
Barranquilla,Colombia,10.9685,-74.7813,25.7,23.6,74,8.9,Sunny,113,2026-04-10 03:19:01.034258,Cálido,Despejado,False
Madrid,Spain,40.4168,-3.7038,23.6,22.9,59,0.8,Sunny,113,2026-03-31 23:17:01.034307,Templado,Despejado,False
Tokyo,Japan,35.6895,139.6917,22.9,28.4,70,2.1,Sunny,113,2026-03-17 07:46:01.034349,Templado,Despejado,False
Medellin,Colombia,6.2442,-75.5812,23.6,27.8,75,11.2,Thundery Outbreaks,200,2026-04-11 09:46:01.034390,Templado,Tormenta,True
London,Uk,51.5074,-0.1278,10.5,8.9,84,11.5,Cloudy,119,2026-03-20 01:26:01.034439,Frío,Nublado,False
Madrid,Spain,40.4168,-3.7038,14.2,16.5,63,5.3,Partly Cloudy,116,2026-03-25 10:41:01.034479,Frío,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,11.5,8.2,71,23.6,Partly Cloudy,116,2026-03-17 01:16:01.034519,Frío,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,20.7,20.7,93,17.2,Sunny,113,2026-03-27 06:36:01.034558,Templado,Despejado,False
Lima,Peru,-12.0464,-77.0428,17.3,11.9,81,14.1,Thundery Outbreaks,200,2026-03-28 01:01:01.034597,Frío,Tormenta,True
Sao Paulo,Brazil,-23.5505,-46.6333,26.5,25.9,88,13.5,Thundery Outbreaks,200,2026-03-28 09:13:01.034646,Cálido,Tormenta,True
Medellin,Colombia,6.2442,-75.5812,21.2,22.2,73,11.7,Overcast,122,2026-03-31 09:42:01.034686,Templado,Nublado,False
London,Uk,51.5074,-0.1278,15.9,15.9,67,11.0,Partly Cloudy,116,2026-04-05 10:02:01.034724,Frío,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,21.8,18.2,91,19.6,Partly Cloudy,116,2026-03-23 11:53:01.034763,Templado,Parcialmente nublado,False
Lima,Peru,-12.0464,-77.0428,14.3,12.9,86,16.1,Overcast,122,2026-03-30 15:39:01.034812,Frío,Nublado,False
Madrid,Spain,40.4168,-3.7038,16.4,17.9,51,3.2,Sunny,113,2026-03-23 02:49:01.034851,Frío,Despejado,False
Barranquilla,Colombia,10.9685,-74.7813,23.0,22.4,66,18.1,Partly Cloudy,116,2026-04-06 05:21:01.034953,Templado,Parcialmente nublado,False
Medellin,Colombia,6.2442,-75.5812,17.1,15.6,92,11.4,Patchy Rain Nearby,176,2026-03-30 05:43:01.035005,Frío,Lluvia ligera,False
Madrid,Spain,40.4168,-3.7038,18.0,19.7,57,1.0,Sunny,113,2026-03-31 02:43:01.035046,Frío,Despejado,False
London,Uk,51.5074,-0.1278,14.2,15.3,78,10.5,Heavy Rain,308,2026-04-14 16:05:01.035086,Frío,Lluvia fuerte,False
London,Uk,51.5074,-0.1278,15.3,16.1,79,13.2,Heavy Rain,308,2026-04-14 07:18:01.035142,Frío,Lluvia fuerte,False
Medellin,Colombia,6.2442,-75.5812,26.5,23.6,68,8.1,Patchy Rain Nearby,176,2026-03-18 18:33:01.035181,Cálido,Lluvia ligera,False
Lima,Peru,-12.0464,-77.0428,21.6,20.9,67,16.6,Sunny,113,2026-03-16 22:54:01.035220,Templado,Despejado,False
Cali,Colombia,3.4516,-76.532,20.8,22.7,69,11.4,Patchy Rain Nearby,176,2026-04-07 02:51:01.035259,Templado,Lluvia ligera,False
Medellin,Colombia,6.2442,-75.5812,24.3,24.1,73,19.7,Partly Cloudy,116,2026-03-23 23:08:01.035297,Cálido,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,25.8,24.2,79,7.7,Partly Cloudy,116,2026-04-13 07:53:01.035335,Cálido,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,31.7,31.7,84,16.3,Sunny,113,2026-03-26 19:35:01.035372,Muy cálido,Despejado,False
Tokyo,Japan,35.6895,139.6917,15.5,14.9,49,6.0,Cloudy,119,2026-03-24 05:08:01.035410,Frío,Nublado,False
Miami,Usa,25.7617,-80.1918,37.0,37.5,87,22.4,Partly Cloudy,116,2026-03-19 13:06:01.035449,Muy cálido,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,14.5,12.9,60,9.6,Sunny,113,2026-03-20 05:24:01.035487,Frío,Despejado,False
Madrid,Spain,40.4168,-3.7038,23.7,27.0,44,7.4,Partly Cloudy,116,2026-03-21 09:09:01.035536,Templado,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,18.0,18.9,84,7.8,Sunny,113,2026-03-17 18:23:01.035653,Frío,Despejado,False
Lima,Peru,-12.0464,-77.0428,20.8,20.6,60,8.8,Sunny,113,2026-03-16 21:21:01.035699,Templado,Despejado,False
Madrid,Spain,40.4168,-3.7038,19.8,20.4,49,4.4,Sunny,113,2026-03-18 11:10:01.035739,Templado,Despejado,False
Madrid,Spain,40.4168,-3.7038,19.4,22.3,70,1.9,Light Drizzle,266,2026-03-23 20:22:01.035779,Templado,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,15.6,16.6,83,11.4,Sunny,113,2026-03-26 08:38:01.035817,Frío,Despejado,False
Tokyo,Japan,35.6895,139.6917,19.2,20.8,55,9.7,Partly Cloudy,116,2026-03-31 06:41:01.035855,Templado,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,22.1,22.7,70,9.0,Patchy Rain Nearby,176,2026-03-30 08:32:01.035894,Templado,Lluvia ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,20.7,21.4,70,1.0,Partly Cloudy,116,2026-04-06 06:13:01.035933,Templado,Parcialmente nublado,False
Miami,Usa,25.7617,-80.1918,35.8,37.2,83,15.1,Cloudy,119,2026-04-11 20:48:01.035971,Muy cálido,Nublado,False
Lima,Peru,-12.0464,-77.0428,24.1,23.1,84,13.3,Cloudy,119,2026-04-04 20:40:01.036025,Cálido,Nublado,False
London,Uk,51.5074,-0.1278,12.6,9.9,73,14.2,Heavy Rain,308,2026-03-30 18:19:01.036065,Frío,Lluvia fuerte,False
Cartagena,Colombia,10.391,-75.4794,29.1,28.3,88,24.0,Cloudy,119,2026-04-10 23:33:01.036104,Cálido,Nublado,False
Barranquilla,Colombia,10.9685,-74.7813,28.4,25.0,59,11.3,Patchy Rain Nearby,176,2026-04-04 11:10:01.036143,Cálido,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,21.1,19.9,79,9.8,Sunny,113,2026-03-25 03:07:01.036182,Templado,Despejado,False
Bogota,Colombia,4.711,-74.0721,15.9,18.8,72,21.0,Light Drizzle,266,2026-03-21 19:53:01.036220,Frío,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,26.4,28.4,69,7.1,Patchy Rain Nearby,176,2026-03-16 19:45:01.036259,Cálido,Lluvia ligera,False
Sao Paulo,Brazil,-23.5505,-46.6333,20.2,22.6,83,13.9,Light Rain,293,2026-03-24 16:52:01.036297,Templado,Lluvia ligera,False
Tokyo,Japan,35.6895,139.6917,25.8,27.0,62,1.6,Partly Cloudy,116,2026-04-12 04:56:01.036334,Cálido,Parcialmente nublado,False
London,Uk,51.5074,-0.1278,10.0,6.7,79,8.7,Cloudy,119,2026-04-08 02:21:01.036374,Muy frío,Nublado,False
Cartagena,Colombia,10.391,-75.4794,26.7,26.0,67,13.5,Partly Cloudy,116,2026-04-07 19:22:01.036423,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,32.3,34.5,100,6.6,Thundery Outbreaks,200,2026-04-10 04:55:01.036464,Muy cálido,Tormenta,True
Lima,Peru,-12.0464,-77.0428,22.4,23.6,81,11.6,Sunny,113,2026-04-12 18:54:01.036503,Templado,Despejado,False
Medellin,Colombia,6.2442,-75.5812,32.8,29.9,77,15.6,Overcast,122,2026-04-15 18:09:01.036541,Muy cálido,Nublado,False
Bogota,Colombia,4.711,-74.0721,16.0,16.6,74,7.5,Light Rain,293,2026-04-04 00:48:01.036580,Frío,Lluvia ligera,False
Bogota,Colombia,4.711,-74.0721,10.6,11.0,64,10.4,Sunny,113,2026-04-08 14:40:01.036619,Frío,Despejado,False
Medellin,Colombia,6.2442,-75.5812,20.9,17.0,55,7.9,Partly Cloudy,116,2026-03-29 18:25:01.036681,Templado,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,17.9,17.9,58,13.6,Overcast,122,2026-03-22 08:02:01.036720,Frío,Nublado,False
Madrid,Spain,40.4168,-3.7038,19.5,22.0,43,7.9,Sunny,113,2026-04-08 23:46:01.036759,Templado,Despejado,False
Miami,Usa,25.7617,-80.1918,22.7,21.2,87,16.9,Cloudy,119,2026-03-19 02:14:01.036816,Templado,Nublado,False
Cali,Colombia,3.4516,-76.532,27.5,28.8,81,5.2,Partly Cloudy,116,2026-04-13 18:19:01.036880,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,25.7,26.3,71,16.1,Sunny,113,2026-04-07 19:39:01.036918,Cálido,Despejado,False
Cartagena,Colombia,10.391,-75.4794,31.5,29.7,79,10.6,Moderate Rain,302,2026-04-03 06:35:01.036957,Muy cálido,Lluvia moderada,False
Barranquilla,Colombia,10.9685,-74.7813,31.1,32.6,88,14.9,Partly Cloudy,116,2026-03-19 17:30:01.036996,Muy cálido,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,24.3,23.9,88,14.6,Heavy Snow,395,2026-04-08 15:40:01.037044,Cálido,Nieve fuerte,True
Barranquilla,Colombia,10.9685,-74.7813,24.8,26.3,78,5.8,Moderate Rain,302,2026-04-13 02:37:01.037094,Cálido,Lluvia moderada,False
Medellin,Colombia,6.2442,-75.5812,23.0,20.7,55,9.2,Partly Cloudy,116,2026-04-15 00:06:01.037179,Templado,Parcialmente nublado,False
Cartagena,Colombia,10.391,-75.4794,27.6,26.8,77,8.6,Cloudy,119,2026-03-23 00:50:01.037219,Cálido,Nublado,False
Mexico City,Mexico,19.4326,-99.1332,26.2,27.3,58,11.1,Patchy Rain Nearby,176,2026-03-17 06:05:01.037258,Cálido,Lluvia ligera,False
London,Uk,51.5074,-0.1278,16.6,14.8,71,12.5,Sunny,113,2026-03-26 22:56:01.037296,Frío,Despejado,False
Madrid,Spain,40.4168,-3.7038,14.5,16.1,77,3.0,Moderate Rain,302,2026-03-21 23:54:01.037352,Frío,Lluvia moderada,False
Cartagena,Colombia,10.391,-75.4794,28.7,30.1,78,9.5,Sunny,113,2026-03-23 06:25:01.037433,Cálido,Despejado,False
Tokyo,Japan,35.6895,139.6917,22.5,22.9,52,6.1,Sunny,113,2026-04-05 06:49:01.037510,Templado,Despejado,False
Mexico City,Mexico,19.4326,-99.1332,26.4,29.0,63,14.0,Heavy Snow,395,2026-03-28 14:54:01.037554,Cálido,Nieve fuerte,True
Cali,Colombia,3.4516,-76.532,26.5,22.4,63,1.7,Cloudy,119,2026-03-24 04:21:01.037593,Cálido,Nublado,False
Barranquilla,Colombia,10.9685,-74.7813,34.3,35.5,63,2.5,Light Drizzle,266,2026-04-08 05:48:01.037633,Muy cálido,Lluvia ligera,False
Barranquilla,Colombia,10.9685,-74.7813,26.2,25.8,76,10.9,Sunny,113,2026-03-18 17:19:01.037672,Cálido,Despejado,False
Tokyo,Japan,35.6895,139.6917,24.0,22.3,81,9.6,Patchy Rain Nearby,176,2026-04-12 18:53:01.037711,Templado,Lluvia ligera,False
Madrid,Spain,40.4168,-3.7038,16.0,15.2,54,0.6,Overcast,122,2026-04-01 05:33:01.037750,Frío,Nublado,False
Mexico City,Mexico,19.4326,-99.1332,24.0,23.3,71,6.6,Patchy Snow Showers,392,2026-04-07 20:31:01.037789,Templado,Nieve ligera,False
Barranquilla,Colombia,10.9685,-74.7813,30.1,32.2,57,8.6,Heavy Rain,308,2026-03-25 16:28:01.037845,Muy cálido,Lluvia fuerte,False
Tokyo,Japan,35.6895,139.6917,26.3,24.9,82,9.7,Thundery Outbreaks,200,2026-03-27 06:25:01.037885,Cálido,Tormenta,True
Sao Paulo,Brazil,-23.5505,-46.6333,19.2,19.5,69,15.9,Sunny,113,2026-03-19 22:21:01.037923,Templado,Despejado,False
Barranquilla,Colombia,10.9685,-74.7813,32.3,31.3,74,12.6,Thundery Outbreaks,200,2026-03-23 23:00:01.037961,Muy cálido,Tormenta,True
Tokyo,Japan,35.6895,139.6917,14.1,16.6,83,3.8,Patchy Rain Nearby,176,2026-04-14 12:41:01.038000,Frío,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,25.7,23.0,70,5.4,Moderate Rain,302,2026-03-21 06:58:01.038308,Cálido,Lluvia moderada,False
London,Uk,51.5074,-0.1278,12.7,10.7,92,13.6,Cloudy,119,2026-03-25 02:15:01.038444,Frío,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,23.1,21.6,77,11.1,Sunny,113,2026-04-03 06:17:01.038709,Templado,Despejado,False
Cali,Colombia,3.4516,-76.532,32.1,33.5,57,1.3,Overcast,122,2026-03-27 14:32:01.038798,Muy cálido,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,24.6,24.3,100,10.0,Partly Cloudy,116,2026-03-17 11:29:01.038891,Cálido,Parcialmente nublado,False
Barranquilla,Colombia,10.9685,-74.7813,26.6,23.7,51,15.5,Sunny,113,2026-03-27 05:50:01.039004,Cálido,Despejado,False
Lima,Peru,-12.0464,-77.0428,22.9,22.2,90,13.5,Cloudy,119,2026-04-15 19:21:01.039050,Templado,Nublado,False
Madrid,Spain,40.4168,-3.7038,19.7,19.2,55,12.5,Patchy Rain Nearby,176,2026-03-20 21:32:01.039092,Templado,Lluvia ligera,False
Barranquilla,Colombia,10.9685,-74.7813,31.8,32.9,77,15.7,Cloudy,119,2026-04-04 05:37:01.039131,Muy cálido,Nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,24.0,27.7,75,14.3,Sunny,113,2026-04-12 01:17:01.039170,Templado,Despejado,False
Madrid,Spain,40.4168,-3.7038,21.2,19.1,81,10.2,Thundery Outbreaks,200,2026-04-04 10:09:01.039210,Templado,Tormenta,True
London,Uk,51.5074,-0.1278,15.7,13.6,58,14.9,Overcast,122,2026-04-10 22:41:01.039248,Frío,Nublado,False
Cartagena,Colombia,10.391,-75.4794,32.1,32.6,71,12.5,Sunny,113,2026-03-19 17:11:01.039287,Muy cálido,Despejado,False
Sao Paulo,Brazil,-23.5505,-46.6333,27.0,24.9,62,13.6,Overcast,122,2026-03-22 17:51:01.039327,Cálido,Nublado,False
Medellin,Colombia,6.2442,-75.5812,21.7,23.1,63,7.0,Light Rain,293,2026-03-22 22:07:01.039623,Templado,Lluvia ligera,False
Cali,Colombia,3.4516,-76.532,25.7,25.1,78,2.8,Thundery Outbreaks,200,2026-03-18 08:58:01.039764,Cálido,Tormenta,True
Bogota,Colombia,4.711,-74.0721,17.9,17.9,93,5.2,Partly Cloudy,116,2026-03-19 01:49:01.039843,Frío,Parcialmente nublado,False
London,Uk,51.5074,-0.1278,14.9,14.1,50,5.3,Partly Cloudy,116,2026-03-16 05:10:01.039891,Frío,Parcialmente nublado,False
Tokyo,Japan,35.6895,139.6917,26.6,24.2,78,4.3,Partly Cloudy,116,2026-04-02 20:59:01.039931,Cálido,Parcialmente nublado,False
Sao Paulo,Brazil,-23.5505,-46.6333,17.7,17.8,58,16.8,Partly Cloudy,116,2026-04-13 15:08:01.039981,Frío,Parcialmente nublado,False
Madrid,Spain,40.4168,-3.7038,14.8,14.8,76,8.7,Patchy Rain Nearby,176,2026-03-21 10:38:01.040022,Frío,Lluvia ligera,False
Mexico City,Mexico,19.4326,-99.1332,18.8,16.7,56,7.7,Patchy Rain Nearby,176,2026-03-25 06:38:01.040062,Templado,Lluvia ligera,False
